,link,title,canal_nome,canal_link,view_counts,video_date,like,dislike
1395,https://www.youtube.com/watch?v=mhe5e2B9bL8,Machine Learning: como ensinar uma máquina a aprender | Nerdologia Tech,Nerdologia,https://www.youtube.com/channel/UClu474HMt895mVxZdlIHXEA,351979.0,30 de ago. de 2018,"38.307 marcações ""Gostei""","199 marcações ""Não gostei"""
1396,https://www.youtube.com/watch?v=mlxoB3wI9eY,Complete Roadmap for Machine Learning || Noob to Advanced || ML 2020,Love Babbar,https://www.youtube.com/channel/UCQHLxxBFrbfdrk1jF0moTpw,182767.0,7 de out. de 2020,"11.788 marcações ""Gostei""","207 marcações ""Não gostei"""
1397,https://www.youtube.com/watch?v=mm2A5tKVIpg,Data Analytics for Beginners,Six Sigma Pro SMART,https://www.youtube.com/channel/UCIPCsG_-FkS3r1AUTRhMTDA,602090.0,4 de mar. de 2018,"8.527 marcações ""Gostei""","356 marcações ""Não gostei"""
1398,https://www.youtube.com/watch?v=mmxbyfhG6Ss,KAGGLE API USNG PYTHON | CADERNOS JUPYTER | DOWNLOADS DE CONJUNTO DE DADOS,#python,https://www.youtube.com/hashtag/python,384.0,25 de out. de 2020,"15 marcações ""Gostei""","Sem marcações ""Não gostei"""
1399,https://www.youtube.com/watch?v=mnhrQxdzHqE,All the maths you need for machine learning for FREE!,Python Programmer,https://www.youtube.com/channel/UC68KSmHePPePCjW4v57VPQg,91838.0,7 de set. de 2020,"6.047 marcações ""Gostei""","33 marcações ""Não gostei"""
1400,https://www.youtube.com/watch?v=mrRfpiAwad0,7 Ways to Make Money with Machine Learning,Siraj Raval,https://www.youtube.com/channel/UCWN3xxRkmTPmbKwht9FuE5A,514015.0,5 de nov. de 2018,"14.260 marcações ""Gostei""","845 marcações ""Não gostei"""
1401,https://www.youtube.com/watch?v=msUWJPXWCUM,Kaggle メルカリコンペの優勝コードを眺める,Takami Sato,https://www.youtube.com/channel/UCiECS_auJLNpFsvjTi1WuxQ,14101.0,5 de mar. de 2018,"258 marcações ""Gostei""","2 marcações ""Não gostei"""
1402,https://www.youtube.com/watch?v=mwEPXevpqls,Data Cleansing Steps & Phases | Data Cleansing Tutorial (2019) | Data Science Tutorial,UNITED STATES,https://www.youtube.com/results?search_query=United+States&sp=EiG4AQHCARtDaElKQ3pZeTVJUzE2bFFSUXJmZVE1SzVPeHc%253D,10507.0,23 de jul. de 2019,"80 marcações ""Gostei""","3 marcações ""Não gostei"""
1403,https://www.youtube.com/watch?v=mwmuJF2ohTw,How to Setup a Machine Learning and AI Environment,#machinelearning,https://www.youtube.com/hashtag/machinelearning,18610.0,8 de out. de 2019,"378 marcações ""Gostei""","29 marcações ""Não gostei"""
1404,https://www.youtube.com/watch?v=mxRurvC-mds,"Machine Learning, Modeling, and Simulation: Engineering Problem-Solving in the Age of AI",MIT xPRO,https://www.youtube.com/channel/UCyLbObwJPbv5ZfAWAZDdGlQ,587587.0,27 de jul. de 2020,"186 marcações ""Gostei""","Sem marcações ""Não gostei"""
1405,https://www.youtube.com/watch?v=myYMrZXpn6U,KAGGLE TUTORIAL! HANDLE LARGE IMAGE DATASETS LIKE A DATA SCIENTIST,#kaggletutorial,https://www.youtube.com/hashtag/kaggletutorial,2198.0,29 de dez. de 2018,"47 marcações ""Gostei""","4 marcações ""Não gostei"""
1406,https://www.youtube.com/watch?v=n0aIK1lT5B8,BNGO Saphyr Is Utilizing The Great Power Of Machine Learning - 10X Stock,#BNGO,https://www.youtube.com/hashtag/bngo,1148.0,8 de mar. de 2021,"128 marcações ""Gostei""","2 marcações ""Não gostei"""
1407,https://www.youtube.com/watch?v=n1ptHGG3dm4,Курсы по Data Science / Зарплаты / Поступать ли в ВУЗ? / Практические задачи на собеседовании,#DataScience,https://www.youtube.com/hashtag/datascience,14067.0,,"802 marcações ""Gostei""","26 marcações ""Não gostei"""
1408,https://www.youtube.com/watch?v=n27eTzDZcVs,Fly animation target leak - full footage,DaWoblefet,https://www.youtube.com/channel/UCfPigxmrYQYqDwTsKxlaBXg,299.0,12 de mar. de 2021,"29 marcações ""Gostei""","Sem marcações ""Não gostei"""
1409,https://www.youtube.com/watch?v=n5DW-nAm3mM,How to become a Kaggle #1 | Marios Michailidis,LONDON,https://www.youtube.com/results?search_query=London&sp=EiG4AQHCARtDaElKZGQ0aHJ3dWcyRWNSbVNyVjNWbzZsbEk%253D,112.0,Estreou em 19 de set. de 2020,"7 marcações ""Gostei""","Sem marcações ""Não gostei"""
1410,https://www.youtube.com/watch?v=nAWUFkDJLIs,Data Science VS Machine Learning | Difference between Data Science & Machine learning | KnowledgeHut,KnowledgeHut,https://www.youtube.com/channel/UC3gO0o6xe18NQ-TvJOXXCKA,14687.0,22 de fev. de 2019,"320 marcações ""Gostei""","14 marcações ""Não gostei"""
1411,https://www.youtube.com/watch?v=nJKxWbQ1jaw,Machine Learning Python | Machine Learning Algorithms | Python Tutorial | Edureka,#edureka,https://www.youtube.com/hashtag/edureka,191846.0,7 de abr. de 2017,"1.568 marcações ""Gostei""","112 marcações ""Não gostei"""
1412,https://www.youtube.com/watch?v=nKW8Ndu7Mjw,Os 7 Passos do Aprendizado de Máquina (AI Adventures),Google Cloud Tech,https://www.youtube.com/channel/UCJS9pqu9BzkAMNTmzNMNhvg,1977689.0,31 de ago. de 2017,"32.945 marcações ""Gostei""","758 marcações ""Não gostei"""
1413,https://www.youtube.com/watch?v=nLw1RNvfElg,Introduction - Data Analysis and Data Science with Python and Pandas,sentdex,https://www.youtube.com/channel/UCfzlCWGWYyIQ0aLC5w48gBQ,212940.0,25 de fev. de 2019,"3.626 marcações ""Gostei""","22 marcações ""Não gostei"""
1414,https://www.youtube.com/watch?v=nNHSlpJMOJs,Azure Machine Learning Tutorial | Azure Tutorial | Azure Training | Edureka,#MicrosoftAzureCertification,https://www.youtube.com/hashtag/microsoftazurecertification,52873.0,8 de nov. de 2018,"599 marcações ""Gostei""","47 marcações ""Não gostei"""
1415,https://www.youtube.com/watch?v=nRHjymV2PX8,Python Reinforcement Learning Tutorial for Beginners in 25 Minutes,Nicholas Renotte,https://www.youtube.com/channel/UCHXa4OpASJEwrHrLeIzw7Yg,978.0,10 de mar. de 2021,"59 marcações ""Gostei""","1 marcação ""Não gostei"""
1416,https://www.youtube.com/watch?v=nRtOMTnBz_Y,Data science applications with TabPy/R,Tableau Software,https://www.youtube.com/channel/UCWGrtxO6JrPSDUcgp3Qm_Gw,22325.0,26 de out. de 2018,"281 marcações ""Gostei""","5 marcações ""Não gostei"""
1417,https://www.youtube.com/watch?v=nTt_ajul8NY,Autoencoders Tutorial | Autoencoders In Deep Learning | Tensorflow Training | Edureka,#Autoencoder,https://www.youtube.com/hashtag/autoencoder,51056.0,9 de out. de 2018,"755 marcações ""Gostei""","55 marcações ""Não gostei"""
1418,https://www.youtube.com/watch?v=nUMO7_h7StU,Webinar: Data Science for Beginners - How to Get Started,365 Data Science,https://www.youtube.com/channel/UCEBpSZhI1X8WaP-kY_2LLcg,30098.0,19 de mar. de 2019,"694 marcações ""Gostei""","18 marcações ""Não gostei"""
1419,https://www.youtube.com/watch?v=nVlbBkExguo,Kaggle Live Coding: Evaluating clusters (text data) | Kaggle,Kaggle,https://www.youtube.com/channel/UCSNeZleDn9c74yQc-EKnVTA,1878.0,,"40 marcações ""Gostei""","4 marcações ""Não gostei"""
1420,https://www.youtube.com/watch?v=nZfaHIxDD5w,MIT 6.S191 (2020): Reinforcement Learning,Alexander Amini,https://www.youtube.com/channel/UCtslD4DGH6PKyG_1gFAX7sg,83522.0,,"1.403 marcações ""Gostei""","15 marcações ""Não gostei"""
1421,https://www.youtube.com/watch?v=nbcDy1wFWlg,Essential techniques for tabular competition | Kazuki Onodera | Kaggle Days,Kaggle,https://www.youtube.com/channel/UCSNeZleDn9c74yQc-EKnVTA,2155.0,30 de jan. de 2020,"45 marcações ""Gostei""","9 marcações ""Não gostei"""
1422,https://www.youtube.com/watch?v=nf4Wm7pFfu4,Spatial Analysis and Data Science,Esri Events,https://www.youtube.com/channel/UC_yE3TatdZKAXvt_TzGJ6mw,4131.0,5 de mar. de 2019,"40 marcações ""Gostei""","Sem marcações ""Não gostei"""
1423,https://www.youtube.com/watch?v=nh4RgxaiKgI,Data Scientist Roles and Responsibilities | Data Scientist Career | Data Science Training | Edureka,#datascience,https://www.youtube.com/hashtag/datascience,18896.0,20 de dez. de 2018,"308 marcações ""Gostei""","10 marcações ""Não gostei"""
1424,https://www.youtube.com/watch?v=niF_T21vdZ4,As 3 Áreas da Matemática Usadas em Data Science,Mario Filho,https://www.youtube.com/channel/UCIFd_i2iwYox1PPm9rD8wFA,6725.0,,"602 marcações ""Gostei""","3 marcações ""Não gostei"""
1425,https://www.youtube.com/watch?v=niaI15AuYTA,Successful Transition Story From Mechanical Engineer To A Data Scientist,#SuccessfulTransitionDataScience,https://www.youtube.com/hashtag/successfultransitiondatascience,20238.0,16 de mai. de 2020,"832 marcações ""Gostei""","19 marcações ""Não gostei"""
1426,https://www.youtube.com/watch?v=njKP3FqW3Sk,MIT 6.S191 (2020): Introduction to Deep Learning,Alexander Amini,https://www.youtube.com/channel/UCtslD4DGH6PKyG_1gFAX7sg,1000944.0,8 de fev. de 2020,"20.640 marcações ""Gostei""","194 marcações ""Não gostei"""
